Date,Clicks,Impressions,CTR,Position
2025-02-24,337,2770,12.17%,15.91
2025-02-23,55,1303,4.22%,27.72
2025-02-22,38,1290,2.95%,31.57
2025-02-21,239,2182,10.95%,17.12
2025-02-20,298,2489,11.97%,16.14
2025-02-19,315,2548,12.36%,15.06
2025-02-18,344,2609,13.19%,13.64
2025-02-17,289,2419,11.95%,13.7
2025-02-16,42,1065,3.94%,26.2
2025-02-15,28,1016,2.76%,25.91
2025-02-14,220,2035,10.81%,14.86
2025-02-13,322,2456,13.11%,13.21
2025-02-12,294,2575,11.42%,13.3
2025-02-11,333,2556,13.03%,13.49
2025-02-10,280,2525,11.09%,14.18
2025-02-09,49,1102,4.45%,25.02
2025-02-08,27,1034,2.61%,28
2025-02-07,260,2236,11.63%,14.43
2025-02-06,287,2551,11.25%,12.83
2025-02-05,314,2627,11.95%,12.69
2025-02-04,327,2575,12.7%,13.29
2025-02-03,270,2302,11.73%,13.51
2025-02-02,40,1084,3.69%,25.79
2025-02-01,24,1070,2.24%,28.12
2025-01-31,219,1855,11.81%,14.61
2025-01-30,323,2210,14.62%,12.74
2025-01-29,324,2335,13.88%,11.97
2025-01-28,302,2203,13.71%,12.42
2025-01-27,253,2238,11.3%,11.7
2025-01-26,36,1017,3.54%,21.03
2025-01-25,25,936,2.67%,22.16
2025-01-24,218,2247,9.7%,21.56
2025-01-23,263,2688,9.78%,22.14
2025-01-22,357,2355,15.16%,11.14
2025-01-21,308,2787,11.05%,20.39
2025-01-20,277,2767,10.01%,21.47
2025-01-19,42,1095,3.84%,29.29
2025-01-18,27,961,2.81%,24.68
2025-01-17,213,1843,11.56%,13.31
2025-01-16,282,2131,13.23%,11.24
2025-01-15,327,2307,14.17%,12.39
2025-01-14,280,2373,11.8%,13.61
2025-01-13,256,2427,10.55%,14.63
2025-01-12,30,1046,2.87%,30.63
2025-01-11,30,1075,2.79%,29.47
2025-01-10,189,1961,9.64%,16.28
2025-01-09,269,2395,11.23%,15.83
2025-01-08,257,2483,10.35%,19.74
2025-01-07,282,2492,11.32%,18.67
2025-01-06,174,2639,6.59%,23.85
2025-01-05,23,1288,1.79%,38.49
2025-01-04,13,1190,1.09%,39.12
2025-01-03,131,1901,6.89%,24.84
2025-01-02,125,1937,6.45%,24.5
2025-01-01,22,1175,1.87%,38.82
2024-12-31,58,1418,4.09%,33.3
2024-12-30,80,1630,4.91%,31.21
2024-12-29,21,1176,1.79%,37.09
2024-12-28,21,1107,1.9%,38.97
2024-12-27,42,1224,3.43%,33.47
2024-12-26,20,1035,1.93%,37
2024-12-25,14,964,1.45%,38.99
2024-12-24,68,1381,4.92%,33.32
2024-12-23,111,1785,6.22%,28.41
2024-12-22,33,1328,2.48%,40.59
2024-12-21,27,1142,2.36%,38.35
2024-12-20,143,1827,7.83%,23.92
2024-12-19,203,2286,8.88%,22.45
2024-12-18,232,2459,9.43%,23.12
2024-12-17,226,2458,9.19%,22.79
2024-12-16,222,2453,9.05%,22.31
2024-12-15,34,1245,2.73%,40.71
2024-12-14,28,1188,2.36%,41.1
2024-12-13,209,1927,10.85%,22.27
2024-12-12,270,2366,11.41%,21.62
2024-12-11,267,2441,10.94%,21.84
2024-12-10,359,2624,13.68%,21.85
2024-12-09,277,2534,10.93%,22.54
2024-12-08,37,1292,2.86%,43.06
2024-12-07,20,1241,1.61%,43.89
2024-12-06,149,2202,6.77%,24.51
2024-12-05,210,2556,8.22%,23.16
2024-12-04,259,2593,9.99%,19.76
2024-12-03,287,2628,10.92%,19.92
2024-12-02,187,2445,7.65%,22.77
2024-12-01,36,1231,2.92%,38.21
2024-11-30,32,1075,2.98%,38.97
2024-11-29,161,1916,8.4%,21.24
2024-11-28,233,2392,9.74%,18.12
2024-11-27,257,2414,10.65%,18.29
2024-11-26,277,2462,11.25%,18.32
2024-11-25,254,2494,10.18%,19.81
2024-11-24,36,1214,2.97%,35.81
2024-11-23,46,1007,4.57%,34.81
2024-11-22,213,1950,10.92%,20.3
2024-11-21,264,2197,12.02%,19.14
2024-11-20,298,2498,11.93%,19.31
2024-11-19,245,2400,10.21%,17.76
2024-11-18,236,2371,9.95%,18.46
2024-11-17,41,1036,3.96%,35.35
2024-11-16,31,988,3.14%,35.45
2024-11-15,210,2054,10.22%,20.19
2024-11-14,273,2328,11.73%,17.05
2024-11-13,331,2554,12.96%,16.89
2024-11-12,389,2638,14.75%,15.8
2024-11-11,216,2507,8.62%,16.84
2024-11-10,49,1216,4.03%,37.4
2024-11-09,47,1134,4.14%,36.21
2024-11-08,155,2366,6.55%,28.01
2024-11-07,225,2636,8.54%,21.71
2024-11-06,198,2594,7.63%,18.92
2024-11-05,206,2498,8.25%,18.83
2024-11-04,192,2625,7.31%,20.67
2024-11-03,47,1537,3.06%,38.63
2024-11-02,36,1383,2.6%,42.86
2024-11-01,181,2374,7.62%,28.93
2024-10-31,393,2745,14.32%,20.19
2024-10-30,459,4110,11.17%,13.87
2024-10-29,302,3283,9.2%,18.02
2024-10-28,301,2852,10.55%,20.11
2024-10-27,58,1403,4.13%,34.95
2024-10-26,64,1334,4.8%,33.06
2024-10-25,216,2598,8.31%,24.31
2024-10-24,336,2987,11.25%,21.19
2024-10-23,305,3153,9.67%,22.32
2024-10-22,340,3019,11.26%,19.46
2024-10-21,306,2956,10.35%,21.21
2024-10-20,62,1548,4.01%,37.23
2024-10-19,38,1366,2.78%,36.39
2024-10-18,209,2145,9.74%,19.15
2024-10-17,274,2606,10.51%,19.44
2024-10-16,319,2957,10.79%,21.59
2024-10-15,333,2831,11.76%,19.8
2024-10-14,286,2551,11.21%,20.03
2024-10-13,40,1223,3.27%,35.1
2024-10-12,38,1089,3.49%,34.62
2024-10-11,193,2062,9.36%,20.03
2024-10-10,301,2472,12.18%,17.09
2024-10-09,267,2418,11.04%,16.11
2024-10-08,290,2787,10.41%,16.45
2024-10-07,275,2599,10.58%,16.72
2024-10-06,54,1275,4.24%,33.92
2024-10-05,30,1074,2.79%,35.16
2024-10-04,224,1996,11.22%,18.65
2024-10-03,248,2253,11.01%,16.74
2024-10-02,277,2504,11.06%,16.51
2024-10-01,304,2461,12.35%,16.23
2024-09-30,233,2417,9.64%,18.27
2024-09-29,30,1081,2.78%,31.63
2024-09-28,35,1009,3.47%,31.84
2024-09-27,209,1955,10.69%,17.86
2024-09-26,258,2278,11.33%,16.03
2024-09-25,308,2728,11.29%,25.45
2024-09-24,293,2756,10.63%,21.4
2024-09-23,263,2781,9.46%,22.33
2024-09-22,54,1831,2.95%,49.73
2024-09-21,31,1340,2.31%,43.75
2024-09-20,234,2375,9.85%,25.68
2024-09-19,281,2800,10.04%,23.59
2024-09-18,354,2735,12.94%,21.7
2024-09-17,350,2373,14.75%,15.98
2024-09-16,314,2849,11.02%,28.5
2024-09-15,43,1663,2.59%,50.98
2024-09-14,36,1372,2.62%,47.12
2024-09-13,189,2318,8.15%,28.66
2024-09-12,309,2545,12.14%,23.91
2024-09-11,328,2642,12.41%,16.81
2024-09-10,324,2474,13.1%,18.18
2024-09-09,309,2351,13.14%,17.94
2024-09-08,46,1044,4.41%,31.73
2024-09-07,45,925,4.86%,28.88
2024-09-06,239,1813,13.18%,17
2024-09-05,295,2198,13.42%,14.35
2024-09-04,309,2266,13.64%,15.2
2024-09-03,271,2280,11.89%,15.19
2024-09-02,282,2210,12.76%,16.15
2024-09-01,50,1106,4.52%,33.44
2024-08-31,31,869,3.57%,30.44
2024-08-30,210,1760,11.93%,17.9
2024-08-29,271,2010,13.48%,15.35
2024-08-28,263,2222,11.84%,13.63
2024-08-27,239,2115,11.3%,13.62
2024-08-26,57,1186,4.81%,27.28
2024-08-25,24,1027,2.34%,33.73
2024-08-24,21,922,2.28%,29.01
2024-08-23,194,1805,10.75%,16.14
2024-08-22,265,2371,11.18%,16.42
2024-08-21,358,2332,15.35%,14.4
2024-08-20,400,2605,15.36%,13.62
2024-08-19,247,2236,11.05%,17.25
2024-08-18,20,964,2.07%,30.72
2024-08-17,26,830,3.13%,30.47
2024-08-16,247,1765,13.99%,16.02
2024-08-15,198,2151,9.21%,15.49
2024-08-14,264,2134,12.37%,13.92
2024-08-13,322,2313,13.92%,13.71
2024-08-12,268,2180,12.29%,16.16
2024-08-11,37,925,4%,30.27
2024-08-10,28,863,3.24%,33.31
2024-08-09,231,1853,12.47%,14.27
2024-08-08,218,2032,10.73%,14.14
2024-08-07,261,2289,11.4%,16.17
2024-08-06,268,2305,11.63%,15.16
2024-08-05,217,2289,9.48%,16.84
2024-08-04,28,962,2.91%,31.36
2024-08-03,25,802,3.12%,29.46
2024-08-02,154,1934,7.96%,14.99
2024-08-01,235,2230,10.54%,13.59
2024-07-31,236,2341,10.08%,13.16
2024-07-30,253,2480,10.2%,13.08
2024-07-29,207,2390,8.66%,15.08
2024-07-28,32,1012,3.16%,29.5
2024-07-27,24,887,2.71%,27.57
2024-07-26,211,1941,10.87%,14.42
2024-07-25,238,2319,10.26%,13.14
2024-07-24,234,2412,9.7%,14.56
2024-07-23,238,2563,9.29%,14.17
2024-07-22,214,2748,7.79%,18.52
2024-07-21,30,1078,2.78%,30.95
2024-07-20,23,851,2.7%,28.04
2024-07-19,164,1784,9.19%,16.28
2024-07-18,261,2323,11.24%,14.37
2024-07-17,278,2333,11.92%,13.39
2024-07-16,265,2459,10.78%,13.11
2024-07-15,216,2427,8.9%,15.55
2024-07-14,35,1045,3.35%,30.6
2024-07-13,41,967,4.24%,27.51
2024-07-12,179,1903,9.41%,14.53
2024-07-11,237,2134,11.11%,14.28
2024-07-10,257,2325,11.05%,14.02
2024-07-09,274,2511,10.91%,13.71
2024-07-08,339,2566,13.21%,14.19
2024-07-07,39,1143,3.41%,28.74
2024-07-06,27,891,3.03%,28.48
2024-07-05,165,1852,8.91%,16.68
2024-07-04,170,2269,7.49%,16.95
2024-07-03,202,2483,8.14%,16.51
2024-07-02,226,2599,8.7%,16.12
2024-07-01,238,2427,9.81%,16.94
2024-06-30,29,1039,2.79%,29.51
2024-06-29,24,900,2.67%,28.76
2024-06-28,174,1913,9.1%,15.92
2024-06-27,219,2195,9.98%,14.7
2024-06-26,280,2520,11.11%,14.58
2024-06-25,253,2378,10.64%,15.29
2024-06-24,210,2395,8.77%,15.49
2024-06-23,36,1075,3.35%,30.13
2024-06-22,31,888,3.49%,28.27
2024-06-21,205,1825,11.23%,15.74
2024-06-20,232,2125,10.92%,14.45
2024-06-19,291,2478,11.74%,12.74
2024-06-18,297,2281,13.02%,14.05
2024-06-17,349,2454,14.22%,14.46
2024-06-16,33,1065,3.1%,28.33
2024-06-15,42,1034,4.06%,27.53
2024-06-14,205,2095,9.79%,14.92
2024-06-13,269,2548,10.56%,14.54
2024-06-12,331,2751,12.03%,13.07
2024-06-11,311,2718,11.44%,15.61
2024-06-10,262,2610,10.04%,15.17
2024-06-09,23,968,2.38%,30.02
2024-06-08,38,832,4.57%,29.56
2024-06-07,179,1889,9.48%,13.76
2024-06-06,270,2209,12.22%,13.33
2024-06-05,284,2240,12.68%,12.11
2024-06-04,305,2286,13.34%,12
2024-06-03,253,1970,12.84%,13.82
2024-06-02,34,796,4.27%,27.61
2024-06-01,26,769,3.38%,30.37
2024-05-31,217,1680,12.92%,14.66
2024-05-30,267,2181,12.24%,14.49
2024-05-29,295,2299,12.83%,15.7
2024-05-28,255,2497,10.21%,17.46
2024-05-27,41,1197,3.43%,27.22
2024-05-26,24,1171,2.05%,32.26
2024-05-25,33,932,3.54%,32.92
2024-05-24,173,1819,9.51%,18.22
2024-05-23,260,2291,11.35%,15.69
2024-05-22,293,2257,12.98%,13.18
2024-05-21,264,2301,11.47%,12.86
2024-05-20,216,2313,9.34%,15.04
2024-05-19,27,1234,2.19%,24.19
2024-05-18,35,854,4.1%,27.02
2024-05-17,194,1790,10.84%,13.99
2024-05-16,231,2188,10.56%,14.06
2024-05-15,332,2467,13.46%,12.98
2024-05-14,369,2556,14.44%,12.99
2024-05-13,312,2264,13.78%,14.71
2024-05-12,33,767,4.3%,30.83
2024-05-11,25,774,3.23%,31.8
2024-05-10,237,1951,12.15%,17.48
2024-05-09,414,2498,16.57%,14.25
2024-05-08,312,2276,13.71%,15.17
2024-05-07,275,2093,13.14%,17.16
2024-05-06,57,957,5.96%,25.32
2024-05-05,24,782,3.07%,31.16
2024-05-04,30,712,4.21%,31.78
2024-05-03,220,1782,12.35%,15.02
2024-05-02,273,1964,13.9%,14.65
2024-05-01,349,2309,15.11%,13.14
2024-04-30,382,2559,14.93%,12.02
2024-04-29,330,2406,13.72%,12.83
2024-04-28,65,943,6.89%,24.81
2024-04-27,57,884,6.45%,27.27
2024-04-26,238,2069,11.5%,15.73
2024-04-25,319,2393,13.33%,15.55
2024-04-24,339,2700,12.56%,21.11
2024-04-23,387,2933,13.19%,23.27
2024-04-22,352,2890,12.18%,23.39
2024-04-21,54,1027,5.26%,31.16
2024-04-20,52,1152,4.51%,40.65
2024-04-19,259,2237,11.58%,23.17
2024-04-18,368,2383,15.44%,13.62
2024-04-17,381,2599,14.66%,16.93
2024-04-16,411,2839,14.48%,21.7
2024-04-15,284,2391,11.88%,15.33
2024-04-14,54,1018,5.3%,29.34
2024-04-13,46,927,4.96%,28.75
2024-04-12,286,1995,14.34%,15.66
2024-04-11,345,2132,16.18%,14.48
2024-04-10,334,2302,14.51%,13.2
2024-04-09,397,2530,15.69%,14.51
2024-04-08,499,2875,17.36%,13.74
2024-04-07,93,1216,7.65%,27.26
2024-04-06,91,1147,7.93%,22.65
2024-04-05,274,1867,14.68%,16.33
2024-04-04,287,2067,13.88%,15.69
2024-04-03,336,2138,15.72%,13.44
2024-04-02,318,2072,15.35%,14.28
2024-04-01,53,1083,4.89%,27.16
2024-03-31,40,955,4.19%,30.68
2024-03-30,35,756,4.63%,27.56
2024-03-29,43,837,5.14%,25.78
2024-03-28,252,1835,13.73%,13.79
2024-03-27,303,2166,13.99%,12.62
2024-03-26,347,2341,14.82%,14.25
2024-03-25,321,2395,13.4%,15.59
2024-03-24,44,1138,3.87%,31.31
2024-03-23,41,808,5.07%,26.18
2024-03-22,264,1763,14.97%,12.89
2024-03-21,346,2168,15.96%,12.39
2024-03-20,360,2297,15.67%,11.76
2024-03-19,404,2577,15.68%,13.98
2024-03-18,323,2234,14.46%,14.59
2024-03-17,53,978,5.42%,29.65
2024-03-16,32,856,3.74%,28.07
2024-03-15,236,1919,12.3%,15.36
2024-03-14,309,2307,13.39%,14.68
2024-03-13,367,2486,14.76%,13.73
2024-03-12,332,2485,13.36%,13.83
2024-03-11,299,2111,14.16%,14.1
2024-03-10,46,813,5.66%,28.52
2024-03-09,45,721,6.24%,29.24
2024-03-08,267,2023,13.2%,15.44
2024-03-07,373,2706,13.78%,21.28
2024-03-06,422,3079,13.71%,19.48
2024-03-05,392,2809,13.96%,19.8
2024-03-04,360,2711,13.28%,21.27
2024-03-03,54,1227,4.4%,32.54
2024-03-02,41,1132,3.62%,30.63
2024-03-01,254,2158,11.77%,18.49
2024-02-29,338,2677,12.63%,22.68
2024-02-28,482,2921,16.5%,18.66
2024-02-27,388,2358,16.45%,13.33
2024-02-26,361,2404,15.02%,15.25
2024-02-25,62,997,6.22%,29.86
2024-02-24,48,1048,4.58%,32.46
2024-02-23,260,2266,11.47%,15.07
2024-02-22,309,2295,13.46%,15.65
2024-02-21,336,2434,13.8%,14.54
2024-02-20,337,2515,13.4%,15.21
2024-02-19,340,2613,13.01%,17.44
2024-02-18,43,1071,4.01%,34.11
2024-02-17,50,945,5.29%,32.89
2024-02-16,285,1917,14.87%,16.84
2024-02-15,336,2158,15.57%,15.36
2024-02-14,357,2283,15.64%,14.84
2024-02-13,337,2372,14.21%,16.76
2024-02-12,339,2262,14.99%,15.82
2024-02-11,37,1371,2.7%,49.9
2024-02-10,37,1109,3.34%,38.58
2024-02-09,238,2047,11.63%,19.7
2024-02-08,357,2407,14.83%,18.2
2024-02-07,365,2392,15.26%,17.97
2024-02-06,407,2645,15.39%,21.78
2024-02-05,337,2482,13.58%,20.6
2024-02-04,36,1136,3.17%,35.01
2024-02-03,44,986,4.46%,34.43
2024-02-02,269,1838,14.64%,20.35
2024-02-01,324,2232,14.52%,17.8
2024-01-31,271,2008,13.5%,19.27
2024-01-30,330,2204,14.97%,17.93
2024-01-29,295,2336,12.63%,20.88
2024-01-28,50,1193,4.19%,35.47
2024-01-27,55,1025,5.37%,35.72
2024-01-26,246,1908,12.89%,22.03
2024-01-25,297,2325,12.77%,20.86
2024-01-24,381,2394,15.91%,18.69
2024-01-23,361,2438,14.81%,17.86
2024-01-22,336,2568,13.08%,20.05
2024-01-21,55,1202,4.58%,35.7
2024-01-20,42,1041,4.03%,34.33
2024-01-19,228,1864,12.23%,21.41
2024-01-18,303,2133,14.21%,17.76
2024-01-17,353,2338,15.1%,19.07
2024-01-16,305,2307,13.22%,21.03
2024-01-15,292,2301,12.69%,22.79
2024-01-14,52,1268,4.1%,38.75
2024-01-13,39,1121,3.48%,35.24
2024-01-12,227,1920,11.82%,22.63
2024-01-11,323,2362,13.67%,20.24
2024-01-10,347,2263,15.33%,20.13
2024-01-09,344,2249,15.3%,20.57
2024-01-08,299,2292,13.05%,22.13
2024-01-07,33,1112,2.97%,40.83
2024-01-06,39,973,4.01%,36.83
2024-01-05,230,1806,12.74%,22.68
2024-01-04,280,2004,13.97%,20.99
2024-01-03,285,1960,14.54%,19.86
2024-01-02,258,1811,14.25%,24.64
2024-01-01,27,985,2.74%,39.78
2023-12-31,33,1021,3.23%,40.92
2023-12-30,27,901,3%,38.59
2023-12-29,64,1011,6.33%,33.24
2023-12-28,68,1095,6.21%,30.69
2023-12-27,69,1196,5.77%,33.95
2023-12-26,27,924,2.92%,39.26
2023-12-25,17,901,1.89%,39.76
2023-12-24,29,940,3.09%,39.69
2023-12-23,28,826,3.39%,38.79
2023-12-22,118,1202,9.82%,24.15
2023-12-21,201,1531,13.13%,22.04
2023-12-20,224,1657,13.52%,18.94
2023-12-19,282,1802,15.65%,18.92
2023-12-18,246,1934,12.72%,20.91
2023-12-17,37,931,3.97%,36.2
2023-12-16,37,821,4.51%,32.04
2023-12-15,214,1485,14.41%,19.56
2023-12-14,287,1817,15.8%,19.5
2023-12-13,275,2083,13.2%,22.74
2023-12-12,321,1972,16.28%,19.76
2023-12-11,275,2047,13.43%,21.33
2023-12-10,43,1091,3.94%,35.32
2023-12-09,43,939,4.58%,34.52
2023-12-08,208,1637,12.71%,21.47
2023-12-07,340,1973,17.23%,17.96
2023-12-06,309,1981,15.6%,17.07
2023-12-05,302,2055,14.7%,19.82
2023-12-04,239,1980,12.07%,21.45
2023-12-03,43,961,4.47%,36.69
2023-12-02,25,943,2.65%,39.1
2023-12-01,216,1593,13.56%,21.62
2023-11-30,275,1888,14.57%,17.34
2023-11-29,327,2042,16.01%,17.83
2023-11-28,311,2086,14.91%,17.63
2023-11-27,278,2249,12.36%,16.85
2023-11-26,45,1679,2.68%,26.76
2023-11-25,37,1038,3.56%,31.49
2023-11-24,237,1824,12.99%,19.58
2023-11-23,311,2057,15.12%,19.25
2023-11-22,363,2279,15.93%,17.77
2023-11-21,328,2094,15.66%,19.11
2023-11-20,335,2149,15.59%,21.29
2023-11-19,44,1045,4.21%,35.26
2023-11-18,33,837,3.94%,36.28
2023-11-17,246,1662,14.8%,19.21
2023-11-16,329,1906,17.26%,16.77
2023-11-15,320,1902,16.82%,16.78
2023-11-14,357,2038,17.52%,16.16
2023-11-13,296,1985,14.91%,19.27
2023-11-12,51,925,5.51%,33.47
2023-11-11,29,803,3.61%,34.56
2023-11-10,240,1637,14.66%,18.78
2023-11-09,320,2053,15.59%,16.48
2023-11-08,284,1945,14.6%,16
2023-11-07,264,1982,13.32%,15.76
2023-11-06,253,2045,12.37%,18.28
2023-11-05,34,950,3.58%,35.88
2023-11-04,20,755,2.65%,34.85
2023-11-03,226,1696,13.33%,17.45
2023-11-02,290,2002,14.49%,16.57
2023-11-01,270,1929,14%,16.89
2023-10-31,304,2098,14.49%,15.74
2023-10-30,292,1953,14.95%,16.73
2023-10-29,70,915,7.65%,32.34
2023-10-28,44,801,5.49%,32.75
2023-10-27,239,1653,14.46%,17.63
2023-10-26,275,2149,12.8%,18.53
2023-10-25,310,2027,15.29%,15.57